Folio,year,Trim,Unidad,cd_mue,punt_mue,turno,p1,p2,p3,p4g,p4n,p5,p6,p6_1,p7,p8,p8_1,p9,p9_1,p9_2,p9_3,p9_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p10,P10_Otro,p11,P11_Otro,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3e,p11_3c,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p13,p13_1,p14,p15,p15_1,p16,p17,p17_1,p17_2,p17_2_1,p17_3,p18,p19,p19_1c,p19_1u,p19_2,p20,p21e1,p21c1,P21U1,p21e2,p21c2,P21U2,p22_1,p22_2,p23e,p23m,p23c,P23U,p24_1,p24_2,p24_3,p24_4,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_2,p26,p27,p28,p28_1,p29e,p29m,p29c,P29U,p29_1c,p29_1t,p29_3,p29_4,p29_5,p30,P30_Otro,p30_1,p31,p31_1,p31_2,p32,p33,p34,p34_1,p35,p36,p36_1,p37c,p37t,p38,p38_1,p38_2,p38_3,p39,p40c,p40t,p41c,p41u,p41_1,p42,p43e,p43m,p43c,P43U,p44,p45,p45_1,p46c,p46t,p47,p48,p48_1,p49,p50,p50_1,p51,p52m,p52a,p53,p54,p55,p56,p57,p58,p59_1,p59_2,p59_3,p59_4,p59_5,p59_6,p60_1,p60_2,p60_3,p60_4,p60_5,p60_6,p60_7,Ponfin3,filtro,m1_1,m1_2,m1_3,m1_4,m1_5,m1_6,m1_7,m1_8,m1_9,m1_10,m1_11,m2,m3,m4_1,m4_2,m4_3,m4_4,m4_5,m4_6,m4_7,m4_8,m4_9,m4_10,m4_11,m5,m6,m7_1,m7_2,m7_3,m7_4,m7_5,m7_6,m7_7,m7_8,m7_9,m7_10,m7_11
401,2014,1,141403,1,1,1,1,21,1,1,3,2,2,-1,6,2,2,9,0,7,7,2,1,8,1,8,2,1,2,2,1,-9,1,-9,16,1625,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,6,100,1,2,111,2,1,1,1705016,2,-2,2,1,-2,-2,-2,-2,8,2,-2,-2,-2,3,27,270040001,2,30,300390001,2,2,3,30,30039,300390001,2,1,2,2,2,1,1,1,1,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,48,2,-5,3,4,1,2,1,1,1,22,2,2000,1,2,8,30,30039,300390001,2,2,2,1,10,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27.79872974,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
405,2014,1,141403,1,1,1,1,23,1,6,2,2,2,-1,6,2,2,6,2,3,3,2,1,8,1,8,2,1,2,2,1,-9,1,-9,1,101,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,130,1,2,111,1,1,1,1705016,2,-2,1,2,2,0,-3,2,6,2,-2,-2,-2,3,27,270170001,2,27,270040001,2,2,3,27,27004,270040001,2,1,2,2,2,1,2,1,2,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,34,2,-5,0,5,1,1,-5,-5,1,2,3,4000,1,2,3,30,30003,300030001,2,2,2,1,6,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,27.79872974,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
406,2014,3,221407,1,1,1,1,39,1,4,2,2,2,-1,5,1,-1,4,2,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,16,1627,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,7,6,600,1,3,111,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,8,7,70650001,2,7,70090001,2,0,96,7,7089,70890001,2,1,2,2,2,1,1,1,1,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,25,2,-5,5,4,1,2,1,2,1,15,2,2000,1,1,4,30,30118,301180001,2,1,2,2,6,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23.58295098,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
409,2014,1,151403,1,1,1,1,29,1,6,2,2,2,-1,1,1,-1,5,3,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,16,1604,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,2,2,4,0,-3,4,1,2,-2,-2,-2,8,7,70890001,2,7,70650001,2,0,96,7,7065,70650001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280220001,2,-5,48,2,-5,0,5,1,2,1,1,1,10,2,2500,1,1,3,30,30039,300390001,2,2,1,2,3,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13.50545574,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
410,2014,3,221407,1,1,1,1,20,1,5,2,2,2,-1,6,2,2,9,3,4,4,2,1,8,1,8,2,1,2,2,1,-9,1,-9,3,301,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,150,1,2,111,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70890001,2,7,70190001,2,0,96,7,7009,70090001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,48,1,2,0,5,1,2,1,1,1,18,2,5000,1,2,4,30,30193,301930001,2,2,2,2,6,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23.58295098,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
413,2014,1,151403,1,1,1,1,42,1,6,2,2,2,-1,5,1,-1,3,1,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,14,1416,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,7,70650001,2,0,96,7,7065,70650001,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,48,2,-5,3,4,1,2,1,2,1,5,2,3500,1,1,3,7,7065,70650001,2,2,1,1,3,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13.50545574,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
416,2014,1,151403,1,1,1,1,36,1,6,2,2,2,-1,5,1,-1,6,3,2,2,1,1,1,1,1,2,1,2,2,1,-9,1,-9,3,305,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,7,700,1,3,111,1,1,1,1705016,2,-2,2,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,27,270170001,2,27,270040001,2,0,96,27,27004,270040001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,36,2,-5,3,4,1,2,1,2,2,2,3,4000,1,2,3,30,30003,300030001,2,2,2,1,10,2,2,0,-2,-2,1,1,2010,3,2014,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13.50545574,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
417,2014,1,151403,1,1,1,1,19,1,3,2,2,2,-1,6,2,2,7,2,4,4,2,1,8,1,8,2,1,2,2,1,-9,1,-9,8,821,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,100,1,2,111,2,1,1,1312047,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70190001,2,97,999999997,97,2,3,7,7019,70190001,2,2,2,2,1,1,2,1,2,2,2,2,2,3,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,12,2,-5,0,5,1,2,1,1,1,3,2,1000,1,2,3,7,7019,70190001,2,2,2,2,3,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13.50545574,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
420,2014,1,151403,1,1,1,1,27,1,6,2,2,2,-1,6,2,2,6,3,2,2,1,1,8,1,8,2,1,2,2,1,-9,1,-9,4,401,2,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,6,700,1,3,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,7,70650001,2,2,3,7,7065,70650001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,48,2,-5,0,5,1,1,-5,-5,1,9,2,2000,1,2,3,9,9007,90070001,2,2,2,1,5,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13.50545574,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
426,2014,1,161403,1,1,1,1,32,1,6,2,2,2,-1,5,1,-1,5,3,2,2,1,1,1,1,1,2,1,2,2,1,-9,1,-9,15,1502,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,8,7,70890001,2,9,90070001,2,0,96,9,9007,90070001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,17,2,-5,0,5,1,2,1,1,1,13,2,4000,1,1,3,9,9007,90070001,2,2,1,2,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19.96688947,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
428,2014,1,161403,1,1,1,1,35,1,6,2,2,2,-1,1,1,-1,5,2,2,2,1,1,1,1,1,2,1,2,2,1,-9,1,-9,1,108,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,150,1,2,111,1,1,1,1705016,2,-2,2,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,27,270170001,2,7,70650001,2,0,96,30,30003,300030001,2,2,1,2,2,1,2,1,2,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,34,2,-5,0,5,1,2,1,2,2,12,2,3000,1,1,3,30,30003,300030001,2,2,1,2,4,2,2,0,-2,-2,1,1,2013,3,2014,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19.96688947,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
429,2014,4,211410,1,1,1,1,33,1,3,3,2,2,-1,6,2,3,8,3,3,3,1,1,8,1,8,2,1,2,2,1,-9,1,-9,4,401,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,7,120,1,2,111,1,1,1,1705099,2,-2,1,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,7,70090001,2,7,70690001,2,0,96,7,7069,70690001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,50250001,2,-5,48,2,-5,0,5,1,2,1,2,1,5,2,5000,1,1,3,7,7069,70690001,2,1,1,2,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16.12098552,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
433,2014,1,161403,1,1,1,1,42,1,2,2,2,2,-1,1,1,-1,11,3,6,6,1,1,1,1,1,2,1,2,2,1,-9,1,-9,16,1608,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,7,120,1,2,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,6,2,-2,-2,-2,3,7,70890001,2,7,71010001,2,2,3,7,7065,70650001,2,1,2,2,2,1,2,1,1,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280220001,2,-5,29,2,-5,4,4,1,2,1,2,3,1,3,2000,1,2,3,7,7065,70650001,2,3,3,2,6,2,2,0,-2,-2,2,2,2012,3,2014,0,-2,-2,-2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,19.96688947,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
433,2014,4,211410,1,1,1,1,39,1,6,2,2,2,-1,1,1,-1,3,1,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,9,904,99,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,7,600,1,3,111,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,7,70890001,2,97,999999997,97,0,96,7,7089,70890001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,20040001,2,-5,48,1,2,0,5,1,2,1,2,1,5,2,2800,1,2,3,7,7089,70890001,2,2,2,2,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16.12098552,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
435,2014,4,211410,1,1,1,1,33,1,1,3,2,2,-1,1,1,-1,5,3,1,1,1,1,1,1,1,2,2,2,2,1,-9,1,-9,2,209,99,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,150,1,2,111,2,1,1,1705099,1,6,1,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,7,70890001,2,7,70090001,2,0,96,7,7009,70090001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,48,1,2,2,4,1,1,-5,-5,1,12,2,2000,1,1,4,9,9014,90140001,2,1,1,2,6,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16.12098552,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
437,2014,4,211410,1,1,1,1,25,1,6,2,2,2,-1,1,1,-1,5,2,2,2,1,1,1,1,1,2,1,2,2,1,-9,1,-9,6,601,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,4,1,1,1705016,2,-2,1,2,2,0,-3,2,3,2,-2,-2,-2,3,27,270170001,2,97,999999997,97,0,96,27,27017,270170001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,48,2,-5,0,5,1,1,-5,-5,1,3,2,2000,1,1,3,27,27017,270170001,2,1,1,2,2,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16.12098552,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
439,2014,1,161403,1,1,1,1,34,1,6,2,2,2,-1,1,1,-1,5,3,1,1,1,1,1,5,1,2,1,2,2,1,-9,1,-9,7,703,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,700,1,3,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,3,7,70890001,2,97,999999997,97,0,96,7,7089,70890001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,20020001,2,-5,6,1,1,0,5,1,2,1,1,2,3,2,2000,1,1,3,7,7089,70890001,2,2,1,2,4,2,2,0,-2,-2,1,1,2014,3,2014,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19.96688947,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
441,2014,1,191403,1,1,1,1,24,2,0,1,2,2,-1,6,2,2,6,3,2,2,2,1,8,1,8,2,1,2,2,1,-9,1,-9,13,1328,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,600,1,3,111,1,1,1,1705016,2,-2,2,2,1,0,-3,1,6,2,-2,-2,-2,3,27,270170001,2,97,999999997,97,0,96,27,27017,270170001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,24,2,-5,6,4,1,2,1,1,1,10,2,3000,1,1,3,27,27017,270170001,2,1,2,1,5,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.56973327,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
445,2014,1,191403,1,1,1,1,48,1,6,2,2,2,-1,5,1,-1,6,4,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,7,705,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,700,1,2,111,4,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,1,2,-2,-2,-2,8,7,70890001,2,7,70370001,1,0,96,7,7037,70370001,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,-2,9,9006,90060001,2,1,2,922,236,98,2,-9,-2,-2,-2,-2,1,50250001,2,-5,48,2,-5,4,4,1,2,1,1,2,15,2,2500,1,1,3,24,24020,240200001,2,2,1,2,5,2,2,0,-2,-2,1,1,2013,3,2014,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.56973327,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
448,2014,1,191403,1,1,1,1,28,1,6,2,2,2,-1,6,2,2,5,1,3,3,1,1,8,1,8,2,1,2,2,1,-9,1,-9,4,401,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1312047,2,-2,2,1,-2,-2,-2,-2,0,2,-2,-2,-2,3,7,70190001,2,7,71010001,2,0,96,7,7101,71010001,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,48,2,-5,0,5,1,2,1,1,1,14,2,2000,1,1,3,30,30193,301930001,2,2,1,1,5,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.56973327,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
457,2014,1,191403,1,1,1,1,31,1,6,2,2,2,-1,1,1,-1,6,2,3,3,1,1,1,1,1,2,1,2,2,1,-9,1,-9,10,1012,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,5,6,600,1,3,111,1,1,1,1705016,2,-2,2,1,-2,-2,-2,-2,6,2,-2,-2,-2,8,27,270040001,2,27,270170001,2,0,96,27,27017,270170001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,51,2,-5,3,4,1,2,1,2,1,8,2,8000,1,2,8,27,27004,270040001,2,3,3,1,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.56973327,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
459,2014,1,191403,1,1,1,1,28,1,6,2,2,2,-1,6,2,2,7,3,4,4,1,1,8,5,8,2,1,2,2,1,-9,1,-9,13,1317,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,6,100,1,2,111,1,1,1,1217001,2,-2,1,1,-2,-2,-2,-2,3,2,-2,-2,-2,8,7,70890001,2,7,70650001,2,0,96,20,20079,200790001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,20020001,2,-5,6,1,1,0,5,1,2,1,2,1,1,3,2500,1,2,3,20,20079,200790001,2,2,2,1,3,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26.56973327,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
460,2014,1,211403,1,1,1,1,23,1,6,2,2,2,-1,6,2,2,6,2,3,3,2,1,8,1,8,2,1,2,2,1,-9,1,-9,10,1001,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,100,1,2,111,1,1,1,1217001,2,-2,2,1,-2,-2,-2,-2,3,2,-2,-2,-2,3,7,70890001,2,30,300390001,2,2,3,7,7065,70650001,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280220001,2,-5,34,1,1,4,4,2,-5,1,2,1,1,4,6000,1,2,3,30,99999,999999999,99,2,1,1,8,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,12.68012234,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
461,2014,1,211403,1,1,1,1,30,1,6,2,2,2,-1,1,1,-1,3,1,1,1,1,1,1,1,1,2,1,2,2,1,-9,1,-9,15,1517,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,1,1,1,1217001,2,-2,2,2,2,0,-3,2,1,2,-2,-2,-2,7,7,70890001,2,7,71010001,2,2,7,30,30003,300030001,2,1,2,2,2,1,2,1,2,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280320001,2,-5,34,2,-5,0,5,1,2,1,2,1,9,2,2000,1,1,3,30,30003,300030001,2,2,3,2,4,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12.68012234,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
462,2014,1,211403,1,1,1,1,26,1,6,2,2,2,-1,6,2,2,5,1,3,3,2,1,8,1,8,2,1,2,2,1,-9,1,-9,16,1617,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,8,5,120,1,2,111,2,1,1,1705016,2,-2,1,1,-2,-2,-2,-2,6,2,-2,-2,-2,3,27,270170001,2,27,270040001,2,0,96,27,27004,270040001,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280220001,2,-5,48,2,-5,5,4,2,-5,1,1,1,1,3,2000,1,1,3,27,27004,270040001,2,2,1,1,3,2,2,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12.68012234,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
466,2014,1,211403,1,1,1,1,30,1,6,2,2,2,-1,5,1,-1,4,2,1,1,1,1,1,5,1,2,1,2,2,1,-9,1,-9,10,1013,1,-2,-2,-2,-2,-2,-2,1,-2,1,-3,611,2,2,2,2,2,2,2,2,2,6,7,100,1,2,111,1,1,1,1705016,2,-2,1,2,4,0,-3,4,3,2,-2,-2,-2,8,27,270170001,2,7,70650001,2,0,96,30,30193,301930001,2,1,2,2,2,1,2,1,1,2,2,2,2,6,2,1,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-9,-2,-2,-2,-2,1,280270001,2,-5,37,1,1,5,4,1,1,-5,-5,1,18,2,5000,1,2,3,30,30193,301930001,2,2,2,2,8,2,1,0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12.68012234,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
